guia_internacional,compania_remitente,contacto_remitente,email_remitente,direccion_remitente,telefono_remitente,codigo_postal_remitente,compañía_destino,nombres_destinatario,email_destinatario,direccion_destinatario,telefono_destinatario,codigo_postal_destino,ciudad_destino,estado_destino,pais_destino,contenido,piezas,peso_libras,peso_kilos,valor_declarado_usd,posicion_arancelaria,mawb,codigo_formulario,guia_nacional,estado_guia,fecha_estado,id_unidad_transporte,liberar,revisar,fecha_liquidacion,codigo_despacho,tipo_identificacion_destinatario,identificacion_destinatario,apellidos_destinatario,clase_envio,val_otros_usd,val_trm,por_iva,nuevo_valor_declarado_usd,por_arancel,fecha_envio,lote
INTM10016,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10017,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10018,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10019,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10020,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10021,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10022,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10023,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10024,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10025,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10026,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10027,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10028,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10029,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10030,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10031,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10032,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10033,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10034,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10035,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10036,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10037,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10038,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10039,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10040,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10041,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10042,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10043,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10044,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10045,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10046,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10047,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10048,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10049,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10050,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10051,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10052,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10053,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10054,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10055,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10056,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10057,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10058,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10059,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10060,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10061,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10062,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10063,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10064,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10065,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10066,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10067,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10068,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10069,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
INTM10070,Compania 422,Cont422,c422@e.com,Dir 422,Tel422,111422,Destino 422,Nom422,d422@e.com,DirDest422,TelDest422,CPDest422,City422,EST422,CO,Contenido 422,422,928.4,20.0,1500.0,1.0,157-998877661904,538.0,G01423,1.0,2025-07-25 16:34:16.140,UT422,False,False,,422.0,43.0,1.0,,,,,0.0,,0.0,23/07/2025,BOP1
